acc,disp_imp,stat_par,zero_one_loss
[0.8335488041370395],[0.28278793574846206],[-0.1501708468997102],[-0.09894361157823184]
[0.8277310924369747],[0.14577676852446067],[-0.12467667211850914],[-0.12847855168322642]
[0.8293471234647706],[0.22932776253429782],[-0.11054510000357795],[-0.14487548749508028]
[0.7718164188752424],[0.0],[-0.03473861720067454],[-0.17339764958102932]
[0.8341952165481578],[0.088818983654313],[-0.18429079660971873],[-0.11829774001706195]
[0.8222365869424693],[0.04225698971461683],[-0.1280492883137811],[-0.13461706071364243]
[0.8170652876535229],[0.11756236073907832],[-0.2194773054200103],[-0.1131657973763236]
[0.8296703296703297],[0.08081979891724671],[-0.270790612895876],[-0.12975620870357707]
[0.8283775048480931],[0.2109613656783468],[-0.14113978978496353],[-0.10798967139168358]
[0.8274078862314156],[0.13183871507445208],[-0.18949713325786072],[-0.1279820813400041]
