acc,disp_imp,stat_par,zero_one_loss
[0.39864864864864863],[0.4835164835164836],[-0.08216783216783216],[0.01486013986014001]
[0.36486486486486486],[0.3170454545454545],[0.11749755620723365],[-0.030889540566959917]
[0.3310810810810811],[0.5321637426900584],[0.030846346635820324],[-0.08193560825139778]
[0.3877551020408163],[0.34224598930481287],[0.07536764705882353],[0.006740196078431238]
[0.40816326530612246],[0.967409948542024],[0.00381372942593336],[-0.195704536330791]
[0.30612244897959184],[0.47058823529411764],[0.044117647058823525],[-0.1384803921568628]
[0.38095238095238093],[0.65],[0.038461538461538464],[-0.125]
[0.2857142857142857],[0.2728592162554426],[0.10056202328382177],[-0.004215174628663276]
[0.3877551020408163],[0.6872852233676976],[-0.037525773195876286],[-0.10268041237113401]
[0.42857142857142855],[0.5156249999999999],[0.03914141414141415],[-0.017676767676767624]
