acc,disp_imp,stat_par,zero_one_loss
[0.5786061588330632],[0.5959650808236916],[0.10333076955945819],[0.10120497372131787]
[0.6418152350081038],[0.5510915492957746],[0.13480734255382143],[0.017774817070591697]
[0.593192868719611],[0.4642375168690958],[0.14795766249254622],[0.0726531220717267]
[0.6029173419773096],[0.6946070878274269],[0.052163385619538885],[0.039877881882303456]
[0.6288492706645057],[0.5191909823785404],[0.14491990108590472],[0.08120632190087085]
[0.5623987034035657],[0.354683698296837],[0.11288331808218593],[0.025621927603158068]
[0.6434359805510534],[0.543656637912897],[0.13704429140077087],[0.044375644994840036]
[0.6022727272727273],[0.5658056580565805],[0.06796085352157871],[0.14352639178565696]
[0.577922077922078],[0.6079136690647482],[0.14384232259163082],[0.0481035290111107]
[0.5746753246753247],[0.5380708597432147],[0.1201301788903095],[0.03658111349443671]
