acc,disp_imp,stat_par,zero_one_loss
[0.72],[0.6486486486486486],[-0.27083333333333337],[-0.03125]
[0.72],[0.7471264367816092],[0.23342175066312998],[0.03183023872679047]
[0.74],[0.7604166666666666],[0.23958333333333337],[-0.01041666666666663]
[0.77],[0.821256038647343],[-0.14509803921568631],[-0.03529411764705892]
[0.69],[0.9101358411703239],[0.07603890362511057],[0.2625994694960212]
[0.82],[0.9702127659574467],[0.024822695035461084],[0.16312056737588654]
[0.75],[0.9380764163372859],[-0.04800817160367721],[0.12768130745658834]
[0.72],[0.6570048309178744],[-0.2784313725490196],[-0.015686274509803866]
[0.76],[0.8902691511387164],[-0.08803986710963452],[0.05315614617940201]
[0.74],[0.888888888888889],[0.09999999999999998],[0.04444444444444451]
