acc,disp_imp,stat_par,zero_one_loss
[0.39864864864864863],[0.21153846153846156],[-0.1791958041958042],[0.0472027972027973]
[0.34459459459459457],[0.39426523297491045],[-0.13216031280547408],[-0.027565982404692102]
[0.32432432432432434],[0.5010989010989012],[-0.04376325428957007],[-0.07094659726238683]
[0.41496598639455784],[0.53125],[-0.05514705882352941],[0.05514705882352944]
[0.4013605442176871],[0.4228723404255319],[-0.08711360899237254],[-0.12605379365716585]
[0.32653061224489793],[0.35416666666666663],[-0.1519607843137255],[-0.07965686274509809]
[0.3741496598639456],[0.5128205128205129],[-0.10439560439560439],[-0.1428571428571429]
[0.2925170068027211],[0.886018237082067],[-0.015054195102368523],[0.07366519470092325]
[0.4013605442176871],[0.3608247422680412],[-0.12783505154639177],[-0.06268041237113409]
[0.4217687074829932],[0.5541125541125541],[-0.06502525252525253],[-0.038510101010101105]
